,title,genre,language,awards,metascore,boxoffice,production,imdbrating,imdbvotes,imdbid
135,Fractured,"Mystery, Thriller",English,N/A,36,N/A,N/A,6.3,"39,793",tt4332232
136,Tales from the Hood 2,"Comedy, Horror",English,N/A,N/A,N/A,Universal 1440 Entertainment,4.3,"1,347",tt8403680
137,Christina P: Mother Inferior,Comedy,English,N/A,N/A,N/A,Netflix,6.4,636,tt7057376
139,Alpha and Omega 2: A Howl-iday Adventure,"Animation, Action, Adventure, Comedy, Family",English,N/A,N/A,N/A,LionsGate Entertainment,5.1,847,tt3111728
140,Earth to Echo,"Adventure, Family, Sci-Fi",English,2 wins & 1 nomination.,53,N/A,Relativity Media,5.8,"17,934",tt2183034
141,Honey 2,"Comedy, Drama, Music",English,N/A,N/A,"$696,794",Universal Pictures,5.3,"6,653",tt1657283
142,House of the Witch,"Fantasy, Horror, Mystery, Thriller",English,N/A,N/A,N/A,Distilled Media,5.0,"1,665",tt6988208
143,Nikki Glaser: Bangin',Comedy,English,N/A,N/A,N/A,N/A,5.8,883,tt10952752
144,One Direction: This Is Us,"Documentary, Music","English, Portuguese",1 nomination.,49,"$28,873,374",Sony Pictures,4.2,"23,123",tt2515086
145,The Bounty Hunter,"Action, Comedy, Romance","English, Ukrainian",4 wins & 5 nominations.,22,"$66,700,000",Sony Pictures,5.6,"116,906",tt1038919
146,Walking Out,"Drama, Thriller",English,1 win & 2 nominations.,79,"$101,947",IFC Films,5.8,"5,302",tt5420886
147,Fishtail,"Documentary, Western",English,2 nominations.,N/A,N/A,Brandywine,7.1,34,tt3574306
148,Kevin Hart: Laugh at My Pain,"Documentary, Comedy",English,1 win & 1 nomination.,N/A,"$7,705,974",Codeblack Entertainment,7.4,"5,411",tt1999192
149,Kevin Hart: Seriously Funny,Comedy,English,N/A,N/A,N/A,Lionsgate,7.6,"4,665",tt1714196
150,My Little Pony Equestria Girls: Forgotten Friendship,"Animation, Comedy, Drama, Family, Fantasy, Musical, Sci-Fi",English,N/A,N/A,N/A,N/A,7.1,378,tt7869818
151,Barbie,Drama,Korean,1 win & 1 nomination.,N/A,N/A,N/A,6.7,231,tt2074334
152,Barbie in a Mermaid Tale,"Animation, Family, Fantasy",English,4 nominations.,N/A,N/A,N/A,6.2,"1,810",tt1610301
153,Barbie in Princess Power,"Animation, Family, Fantasy",English,1 win & 2 nominations.,N/A,N/A,Universal Pictures,5.5,639,tt4215332
154,Barbie in Rock 'N Royals,"Animation, Family",English,N/A,N/A,N/A,Rainmaker Entertainment,6.0,599,tt4955162
155,Barbie: Star Light Adventure,"Animation, Family, Sci-Fi",English,N/A,N/A,N/A,Arc Animation and Visual Effects,5.9,512,tt5502946
156,Barbie: A Fairy Secret,"Animation, Family, Fantasy",English,2 nominations.,N/A,N/A,Universal Pictures,5.7,"1,220",tt1800254
157,Barbie: The Princess & the Popstar,"Animation, Family, Musical",English,N/A,N/A,N/A,Universal Studios,5.7,"1,342",tt2396690
158,Barbie Video Game Hero,Animation,English,3 nominations.,N/A,N/A,Mattel Creations,5.1,294,tt6185658
